English,Portuguese
Go.,Vai.
Go.,Vá.
Hi.,Oi.
Run!,Corre!
Run!,Corra!
Run!,Corram!
Run.,Corre!
Run.,Corra!
Run.,Corram!
Who?,Quem?
Who?,Que
Wow!,Uau!
Wow!,Nossa!
Wow!,Wow!
Fire!,Fogo!
Fire!,Incêndio!
Fire!,Chama!
Help!,Ajuda!
Help!,Socorro!
Jump!,Pule!
Jump!,Pula!
Jump.,Pulem.
Jump.,Pule.
Jump.,Pulam.
Stop!,Pare!
Stop!,Parem!
Stop!,Parada!
Stop!,Ponto!
Stop!,Pará!
Wait!,Espere!
Wait!,Aguarde!
Wait.,Espere!
Wait.,Esperem.
Go on.,Siga em frente.
Go on.,Vá!
Go on.,Continue.
Go on.,Siga adiante.
Hello!,Oi.
Hello!,Alô.
Hello!,Olá!
Hello!,Alô!
I ran.,Eu corri.
I see.,Eu sei.
I see.,Eu entendo.
I see.,Estou vendo.
I see.,Eu vejo.
I see.,Eu assisto.
I try.,Eu tento.
I try.,Tento.
I won!,Ganhei!
I won.,Eu venci.
Oh no!,Ah não!
Relax.,Relaxe!
Relax.,Relaxa!
Relax.,Relaxe.
Shoot!,Tiro!
Smile.,Sorria.
Smile.,Sorriam.
Attack!,Atacar!
Attack!,Ataquem!
Attack!,Ataque!
Cheers!,Saúde!
Freeze!,Parado!
Get up.,Levante-se!
Get up.,Levantem-se!
Get up.,Levanta-te.
Get up.,Levante-se.
Get up.,Levanta-te!
Go now.,Vá agora.
Got it!,Entendi.
Got it!,Eu entendi!
Got it!,Saquei!
Got it?,Entendeu?
He ran.,Ele correu.
He ran.,Ele corria.
Hop in.,Sobe aí!
Hop in.,Entra aí!
Hug me.,Me abrace.
I fell.,Eu caí.
I knit.,Eu tricoto.
I know.,Eu sei.
I know.,Sei.
I left.,Eu saí.
I lied.,Eu menti.
I paid.,Eu paguei.
I quit.,Eu me demito.
I work.,Eu estou trabalhando.
I'm OK.,Estou bem.
I'm OK.,Eu vou bem.
I'm up.,Estou acordado.
Listen.,Escute!
Listen.,Ouça-me!
Listen.,Escuta!
Listen.,Escutem!
Listen.,Ouça isso!
Listen.,Escutem-me!
Listen.,Escute.
Listen.,Escuta.
